freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4141050,GJ_GCV,I_TAX,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.5600 	21.1700 	21.1700 	21.6200 	23.4900 	23.4900 	24.1000 	24.1000 
S,4100,4141050,GJ_GCV,I_TAX,EUR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.1000 	20.1900 	21.8600 	22.6400 	21.5600 	20.4500 
S,4100,4141050,GJ_GCV,I_TAX,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7572 	6.8156 	6.6711 	6.9404 	7.8755 	8.2314 	7.7099 	7.2922 
S,4100,4141050,GJ_GCV,I_TAX,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.3183 	6.3887 	7.7212 	8.8126 	9.8365 	9.8065 	9.1743 	9.6137 	9.9886 	9.8783 	11.1134 	11.3237 	13.0757 	13.3461 	12.7604 	12.8696 
S,4100,4141050,GJ_GCV,I_TAX,EUR,DE	18.1230 	18.6482 	15.8779 	14.7910 	14.6343 	15.9197 	: 	14.8965 	15.2847 	15.3309 	15.0458 	17.9047 	18.0733 	18.1599 	18.3194 	18.3775 	18.7972 	18.3634 	17.9189 	18.1884 	17.9502 	17.7041 	17.6211 	17.5578 	17.5731 	18.3809 	19.6080 	21.4078 	21.9395 	21.7500 	21.2100 	21.9600 	22.1400 	22.1380 	22.1100 	24.2500 	23.9000 	26.0900 	27.1700 	28.5200 	27.7400 
S,4100,4141050,GJ_GCV,I_TAX,EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.0336 	25.0417 	26.8569 	26.8029 	28.0030 	28.0763 	28.1209 	28.1315 	28.1228 	28.1198 	28.0635 	36.3795 	41.7445 	39.9818 	43.7725 	53.7117 	45.2783 	47.8027 
S,4100,4141050,GJ_GCV,I_TAX,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.5100 	18.4200 	18.4200 	19.9700 	20.4500 	22.2600 	22.9900 	23.7100 	23.1800 p
S,4100,4141050,GJ_GCV,I_TAX,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.0458 	: 	8.0458 	8.0363 	8.0446 	8.0446 	8.0439 	8.0388 	9.4295 	11.2050 
S,4100,4141050,GJ_GCV,I_TAX,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.0412 	17.2300 	18.7300 	19.1070 	19.7396 	19.3422 
S,4100,4141050,GJ_GCV,I_TAX,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.1300 	16.3400 	15.6400 	17.1800 	17.5900 	19.1700 	20.2800 	21.4400 	20.5900 p
