freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4142050,GJ_GCV,I_TAX,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.3079 	11.0615 	11.0615 	11.0600 	10.9700 	10.7100 	: 	: 	11.5100 	11.5100 	11.7100 	14.1500 	13.8800 	13.9800 	14.3200 
S,4100,4142050,GJ_GCV,I_TAX,EUR,BE	9.6835 	9.2316 	6.4963 	6.2981 	5.9033 	6.7572 	7.3059 	7.2100 	7.0590 	6.9068 	7.1024 	7.0879 	7.6193 	7.6494 	7.7140 	7.8422 	7.6680 	7.6266 	7.7603 	7.9170 	7.8754 	7.5274 	7.1716 	7.0823 	8.3466 	9.3803 	10.6991 	9.9281 	9.4900 	9.3000 	9.7330 	9.7140 	9.3972 	9.5700 	: 	: 	12.6900 	13.5000 	: 	10.8100 
S,4100,4142050,GJ_GCV,I_TAX,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.4380 	5.0634 	4.5539 	4.7822 	5.1585 	5.9341 	5.8820 	6.0753 
S,4100,4142050,GJ_GCV,I_TAX,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.1064 	4.7529 	5.6010 	5.9079 	6.4479 	6.2727 	5.7339 	6.1777 	5.6663 	5.4975 	6.5767 	6.7535 	9.0512 	9.6067 	8.8215 	8.7842 
S,4100,4142050,GJ_GCV,I_TAX,EUR,DE	8.7356 	8.9544 	6.8346 	6.0955 	5.5323 	6.8340 	7.6483 	7.6083 	7.5600 	7.0406 	7.3437 	7.4477 	7.4679 	7.4863 	7.3268 	7.2705 	7.0095 	7.0231 	7.3554 	7.4237 	7.3388 	7.2826 	6.8155 	6.9587 	7.3370 	8.7124 	10.4815 	10.8752 	10.2500 	9.4500 	10.3500 	10.6760 	10.4040 	10.9000 	11.5800 	12.4700 	14.5000 	14.9800 	16.8900 	15.4500 
S,4100,4142050,GJ_GCV,I_TAX,EUR,DK	: 	: 	: 	: 	: 	: 	: 	6.4082 	6.1015 	6.1184 	6.7762 	7.1461 	6.7889 	6.7941 	6.4483 	6.2536 	7.0122 	7.3429 	8.6878 	7.9746 	8.3051 	7.2750 	6.5581 	7.5281 	10.5993 	11.4896 	14.4557 	12.1294 	10.1710 	10.8343 	11.1673 	10.3455 	11.3183 	14.6863 	16.8403 	16.0892 	17.6913 	21.6750 	18.2723 	19.2850 
S,4100,4142050,GJ_GCV,I_TAX,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.1800 	9.8200 	9.8900 	10.4300 	10.7800 	12.7400 	13.3600 	14.1400 	13.0600 p
S,4100,4142050,GJ_GCV,I_TAX,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2804 	: 	4.2804 	4.4489 	4.2738 	4.2738 	4.4630 	4.8854 	5.4020 	5.8773 
S,4100,4142050,GJ_GCV,I_TAX,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.3457 	9.5700 	12.3200 	12.9210 	12.9480 	11.3533 
S,4100,4142050,GJ_GCV,I_TAX,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6300 	9.4600 	9.5400 	10.2700 	10.7100 	12.8100 	13.5700 	14.3200 	13.2600 p
