freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,6000,4161050,KWH,I_TAX,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1946 	0.1958 	0.1972 	0.1937 	0.1732 	0.1973 	0.2324 	0.2393 
S,6000,4161050,KWH,I_TAX,EUR,BE	0.1990 	0.2060 	0.2034 	0.2058 	0.2055 	0.2135 	0.2149 	0.2171 	0.2186 	0.2260 	0.2382 	0.2385 	0.2166 	0.2216 	0.2289 	0.2326 	0.2320 	0.2261 	0.2167 	0.2154 	0.2085 	0.2104 	0.2095 	0.2087 	0.2030 	0.1824 	0.1855 	0.1805 	0.1877 	0.1803 	0.1822 	0.1825 	0.1873 	0.1940 	0.2107 	0.2115 	0.2124 	0.2161 	0.2503 	0.2526 
S,6000,4161050,KWH,I_TAX,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0542 	0.0578 	0.0583 	0.0588 	0.0583 	0.0603 	0.0670 	0.0670 
S,6000,4161050,KWH,I_TAX,EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0743 	: 	0.1098 	: 	0.1270 	: 	0.1104 	0.1187 	0.1236 	0.1221 	0.1243 	0.1205 	0.1224 	0.1353 	0.1581 	0.1576 	0.1527 	0.1486 
S,6000,4161050,KWH,I_TAX,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1047 	0.1059 	0.1161 	0.1122 	0.1297 	0.1399 	0.1324 	0.1309 	0.1323 	0.1357 	0.1449 	0.1455 	0.1772 	0.1789 	0.1965 	0.1929 
S,6000,4161050,KWH,I_TAX,EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2629 	0.2591 	0.2751 	0.2776 	0.2819 	0.2862 	0.2953 	: 
S,6000,4161050,KWH,I_TAX,EUR,DK	0.1877 	0.1870 	0.1887 	0.2062 	0.2169 	0.2187 	0.2073 	0.2061 	0.2090 	0.2168 	0.2260 	0.2249 	0.2272 	0.2270 	0.2313 	0.2381 	0.2479 	0.2457 	0.2537 	0.2504 	0.2740 	0.2771 	0.2880 	0.2944 	0.3032 	0.3035 	0.3045 	0.3076 	0.3277 	0.3237 	0.3435 	0.3244 	0.3298 	0.3282 	0.3327 	0.3411 	0.3492 	0.3671 	0.3905 	0.3651 
S,6000,4161050,KWH,I_TAX,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1793 	0.1830 	0.1826 	0.1894 	0.1902 	0.1934 	0.1956 	0.2015 	0.2027 p
S,6000,4161050,KWH,I_TAX,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0575 	: 	0.0735 	: 	0.0735 	0.0842 	0.0842 	0.0870 	0.0896 	0.0906 	0.0906 	0.0908 
S,6000,4161050,KWH,I_TAX,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0838 	0.0859 	0.0867 	0.0867 	0.0867 	0.0925 	0.0925 
S,6000,4161050,KWH,I_TAX,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1404 	0.1404 	0.1467 	0.1479 	0.1467 	0.1508 
S,6000,4161050,KWH,I_TAX,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1867 	0.1880 	0.1818 	0.1883 	0.1891 	0.1937 	0.1996 	0.2098 	0.2067 p
S,6000,4161050,KWH,I_TAX,EUR,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1826 	0.1773 	0.1840 	0.1848 	0.1904 	0.1954 	0.2056 	: 
S,6000,4161050,KWH,I_TAX,EUR,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1810 	0.1818 	0.1873 	0.1922 	0.2022 	0.2002 p
S,6000,4161050,KWH,I_TAX,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1530 	0.1625 	0.1703 	0.1677 	0.1703 	0.1703 	0.1670 	0.1632 	0.1547 	0.1504 	0.1501 	0.1501 	0.1533 	0.1616 	0.1687 	0.1703 	0.1829 	0.1944 	0.1975 	0.1947 	0.1942 	0.1925 	0.1987 	0.2024 	0.2144 	0.2122 
S,6000,4161050,KWH,I_TAX,EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1630 	0.1627 	0.1627 	0.1674 	0.1674 	0.1674 	0.1674 	0.1674 	0.1670 	0.1698 	0.1698 
S,6000,4161050,KWH,I_TAX,EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1378 	0.1423 	0.1478 	0.1503 	0.1479 	: 
S,6000,4161050,KWH,I_TAX,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	0.0414 	0.0388 	0.0517 	0.0488 	0.0358 	0.0330 	0.0526 	0.0428 	0.0428 	0.0403 	0.0621 	0.0639 	0.0674 	0.0633 	0.0750 	0.0836 	0.0870 	0.0852 	0.0888 	0.0945 	0.1010 	0.0999 	0.1025 	0.1006 	0.1215 	0.1286 	0.1304 	0.1359 	0.1283 	0.1159 	0.1427 	0.1536 
S,6000,4161050,KWH,I_TAX,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2657 	0.3229 	0.3229 	0.3199 	0.3199 	0.3468 	0.3468 
S,6000,4161050,KWH,I_TAX,EUR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2040 	: 	0.0677 	0.0671 	0.0641 	0.0604 	0.0639 	0.0587 	0.0625 	0.0615 	0.0614 	0.0613 	0.0616 	0.0639 	0.0785 	0.0839 	0.0928 	0.0910 	0.0912 	0.0955 	0.0976 	0.0960 	0.0947 	0.0952 	0.0985 	0.0996 	0.1081 	0.1081 	0.1280 	0.1281 
S,6000,4161050,KWH,I_TAX,EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0841 	0.0841 	0.0899 	0.0899 	0.0899 	0.0899 	0.0957 	0.0957 
S,6000,4161050,KWH,I_TAX,EUR,LU	0.1817 	0.1836 	0.1929 	0.1936 	0.1952 	0.2038 	0.1968 	0.1984 	0.2012 	0.2032 	0.2142 	0.2167 	0.2183 	0.2232 	0.2263 	0.2315 	0.2312 	0.2304 	0.2273 	0.2237 	0.2249 	0.2255 	0.2284 	0.2274 	0.2240 	0.2224 	0.2221 	0.2251 	0.2292 	0.2298 	0.2371 	0.2371 	0.2420 	0.2426 	0.2653 	0.2793 	0.2962 	0.2962 	0.3002 	: 
