freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,6000,4162050,KWH,I_TAX,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1392 	0.1397 	0.1497 	0.1382 	0.1355 	0.1365 	0.1435 	0.1507 
S,6000,4162050,KWH,I_TAX,EUR,BE	0.1325 	0.1370 	0.1365 	0.1408 	0.1393 	0.1511 	0.1511 	0.1528 	0.1538 	0.1590 	0.1674 	0.1678 	0.1690 	0.1725 	0.1787 	0.1815 	0.1808 	0.1793 	0.1820 	0.1811 	0.1833 	0.1851 	0.1787 	0.1777 	0.1720 	0.1758 	0.1540 	0.1571 	0.1591 	0.1597 	0.1613 	0.1519 	0.1567 	0.1599 	0.1520 	0.1537 	0.1530 	0.1556 	0.1653 	0.1636 
S,6000,4162050,KWH,I_TAX,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0583 	0.0588 	0.0588 	0.0583 	0.0654 	0.0649 	0.0675 	0.0772 
S,6000,4162050,KWH,I_TAX,EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1775 	0.1613 	0.1808 	0.2176 	0.2169 	0.2187 	0.2118 	0.2355 	0.2512 	0.1555 	0.1482 	0.1465 
S,6000,4162050,KWH,I_TAX,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0883 	0.0674 	0.0900 	0.0703 	0.0982 	0.0796 	0.0965 	0.0700 	0.0935 	0.0710 	0.0990 	0.0964 	0.1292 	0.1272 	0.1530 	0.1463 
S,6000,4162050,KWH,I_TAX,EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1912 	0.2004 	0.2070 	0.2092 	0.2180 	0.2200 	0.2120 	: 
S,6000,4162050,KWH,I_TAX,EUR,DK	0.0695 	0.0663 	0.0598 	0.0683 	0.0788 	0.0822 	0.0778 	0.0775 	0.0773 	0.0786 	0.0820 	0.0816 	0.0823 	0.0820 	0.0820 	0.0845 	0.0901 	0.0893 	0.0900 	0.0888 	0.0927 	0.0931 	0.0950 	0.0945 	0.0988 	0.0982 	0.1092 	0.1109 	0.1162 	0.1141 	0.1223 	0.1092 	0.1193 	0.1205 	0.1239 	0.1254 	0.1305 	0.1373 	0.1537 	0.1352 
S,6000,4162050,KWH,I_TAX,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1411 	0.1455 	0.1492 	0.1538 	0.1545 	0.1610 	0.1658 	0.1657 	0.1640 p
S,6000,4162050,KWH,I_TAX,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0661 	: 	0.0661 	0.0667 	0.0667 	0.0702 	0.0721 	0.0733 	0.0733 	0.0735 
S,6000,4162050,KWH,I_TAX,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1002 	0.1028 	0.1038 	0.1074 	0.1074 	0.1122 	0.1166 
S,6000,4162050,KWH,I_TAX,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1266 	0.1266 	0.1323 	0.1334 	0.1387 	0.1301 
S,6000,4162050,KWH,I_TAX,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1283 	0.1340 	0.1361 	0.1416 	0.1428 	0.1512 	0.1578 	0.1586 	0.1565 p
S,6000,4162050,KWH,I_TAX,EUR,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1310 	0.1327 	0.1386 	0.1397 	0.1487 	0.1543 	0.1568 	: 
S,6000,4162050,KWH,I_TAX,EUR,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1373 	0.1386 	0.1473 	0.1528 	0.1546 	: 
S,6000,4162050,KWH,I_TAX,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0740 	0.0778 	0.0805 	0.0793 	0.0777 	0.0750 	0.0747 	0.0754 	0.0724 	0.0716 	0.0711 	0.0707 	0.0697 	0.0706 	0.0729 	0.0735 	0.0771 	0.0833 	0.0840 	0.0821 	0.0818 	0.0794 	0.0830 	0.0849 	0.0822 	: 
S,6000,4162050,KWH,I_TAX,EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1121 	0.1121 	0.1110 	0.1137 	0.1137 
S,6000,4162050,KWH,I_TAX,EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0821 	0.0848 	0.0881 	0.0896 	0.0882 	: 
S,6000,4162050,KWH,I_TAX,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	0.0968 	0.0890 	0.0962 	0.0886 	0.0805 	0.0691 	0.0641 	0.0750 	0.0745 	0.0811 	0.0979 	0.1009 	0.1076 	0.1009 	0.1096 	0.0932 	0.0969 	0.0949 	0.0989 	0.1053 	0.1127 	0.1114 	0.1143 	0.1147 	0.1254 	0.1326 	0.1345 	0.1406 	0.1337 	0.1208 	0.1436 	0.1544 
S,6000,4162050,KWH,I_TAX,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1459 	: 	: 	: 	: 	0.1633 	0.1815 	0.1815 	0.1839 	0.1839 	0.1992 	0.1992 
S,6000,4162050,KWH,I_TAX,EUR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1738 	0.1723 	0.1772 	0.1676 	0.1774 	0.1871 	0.1961 	0.1932 	0.1948 	0.1947 	0.1853 	0.1961 	0.1770 	0.1778 	0.1642 	0.1593 	0.1432 	0.1482 	0.1507 	0.1477 	0.1454 	0.1489 	0.1512 	0.1536 	0.1648 	0.1852 	0.1824 	0.1821 
S,6000,4162050,KWH,I_TAX,EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0779 	0.0808 	0.0837 	0.0831 	0.0870 	0.0870 	0.0896 	0.0896 	0.1032 	0.1032 
S,6000,4162050,KWH,I_TAX,EUR,LU	0.1298 	0.1296 	0.1372 	0.1387 	0.1397 	0.1448 	0.1347 	0.1341 	0.1358 	0.1369 	0.1439 	0.1454 	0.1458 	0.1485 	0.1504 	0.1475 	0.1470 	0.1469 	0.1450 	0.1426 	0.1427 	0.1429 	0.1448 	0.1436 	0.1396 	0.1368 	0.1331 	0.1349 	0.1380 	0.1382 	0.1435 	0.1435 	0.1471 	0.1772 	: 	: 	: 	: 	: 	: 
S,6000,4162050,KWH,I_TAX,EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0605 	0.0801 	0.0759 	0.0759 	0.0759 	0.0793 	0.0791 	0.0909 
S,6000,4162050,KWH,I_TAX,EUR,MT	: 	: 	: 	: 	: 	: 	0.0880 	0.0913 	0.0884 	0.0872 	0.0794 	0.0809 	0.0815 	0.0793 	0.0791 	0.0772 	0.0778 	0.0783 	0.0802 	0.0830 	0.0835 	0.0833 	0.0816 	0.0853 	0.0867 	0.0882 	0.0878 	0.0907 	0.0898 	0.0879 	0.0895 	0.0879 	0.0873 	0.0882 	0.1064 	0.1071 	0.1345 	0.1476 	0.1476 	0.1476 
S,6000,4162050,KWH,I_TAX,EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1722 	0.1641 	0.1735 	0.1780 	: 	: 	: 	: 	: 	: 	0.1773 	0.1776 	0.1927 	0.2036 p	0.2133 	: 
S,6000,4162050,KWH,I_TAX,EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0619 	0.0598 	0.0600 	0.0720 	0.0740 	0.0553 	0.0571 	0.0642 	0.0624 	0.0631 	0.0653 	0.0599 	0.0641 	0.0741 	0.0783 	0.0775 	0.0978 	0.0889 	0.0940 	0.0884 	0.1087 	0.0995 	0.0946 	0.1085 	0.1206 	0.0935 
S,6000,4162050,KWH,I_TAX,EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0873 	0.0948 	0.1114 	0.1122 	0.0991 	0.1033 	: 	0.0901 	0.0962 	0.1052 	0.1035 	0.1123 	0.1087 	0.1100 	0.1154 
S,6000,4162050,KWH,I_TAX,EUR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1241 	0.1241 	0.1340 	0.1340 	0.1421 	0.1421 
S,6000,4162050,KWH,I_TAX,EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0794 	0.0707 	0.0813 	0.0897 	0.1079 	0.1202 	0.1156 	0.1191 	0.1201 	0.1385 
S,6000,4162050,KWH,I_TAX,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0857 	0.0883 	0.0902 	0.0901 	0.0868 	0.0838 	0.0776 	0.0744 	0.0696 	0.0670 	0.0501 	0.0507 	0.0451 	0.0442 	0.0882 	0.0579 	0.0866 	0.0717 	0.0703 	0.0710 	0.0830 	0.0954 	0.0900 	: 
S,6000,4162050,KWH,I_TAX,EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	0.1186 	0.0891 	0.1121 	0.1073 	0.1080 	0.1272 	0.1299 	0.1530 	0.1392 	0.1475 	0.1478 	0.1680 	0.1749 	0.1756 	0.1800 	0.1870 	0.1742 	0.1750 	0.1731 	0.1696 	0.1264 	0.1261 	0.1311 	0.1290 	0.1354 	0.1175 	0.1268 	0.1342 	0.1363 	0.1349 	0.1580 	0.1600 
S,6000,4162050,KWH,I_TAX,EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1439 	0.1469 	0.1260 	0.1250 	0.1576 	0.1470 	0.1698 	0.1770 
S,6000,4162050,KWH,I_TAX,EUR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0741 
S,6000,4162050,KWH,I_TAX,EUR,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1103 	: 	0.1137 	0.1290 	0.1309 	0.1330 	0.1276 	0.1247 	0.1264 	0.1277 	0.1292 	0.1278 	0.1328 	0.1094 	0.0962 	0.0908 	0.0810 	0.0837 	0.0835 	0.0930 	0.0979 	0.1184 	0.1334 	0.1435 	: 
S,6000,4162050,KWH,I_TAX,NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1392 	0.1397 	0.1497 	0.1382 	0.1355 	0.1365 	0.1435 	0.1507 
S,6000,4162050,KWH,I_TAX,NAC,BE	0.1463 	0.1512 	0.1450 	0.1507 	0.1507 	0.1596 	0.1582 	0.1601 	0.1601 	0.1658 	0.1673 	0.1676 	0.1691 	0.1691 	0.1735 	0.1728 	0.1739 	0.1749 	0.1813 	0.1833 	0.1852 	0.1867 	0.1787 	0.1777 	0.1720 	0.1758 	0.1540 	0.1571 	0.1591 	0.1597 	0.1613 	0.1519 	0.1567 	0.1599 	0.1520 	0.1537 	0.1530 	0.1556 	0.1653 	0.1636 
S,6000,4162050,KWH,I_TAX,NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1140 	0.1150 	0.1150 	0.1140 	0.1280 	0.1270 	0.1320 	0.1510 
